,author_id,parent,weight,Reasoning,Reflection,Clarification,Elaboration,Consensus,Alternative,Representation,Properties,Elements,Method,Application,weightNorm
1,A,A,7,2,1,0,3,1,0,3,2,0,0,2,0.2
2,A,C,10,0,3,2,4,0,1,2,1,1,3,3,0.32
3,A,ChrisJordan,2,0,1,0,1,0,0,1,1,0,0,0,0
4,A,DigitalDataInstallation,2,1,1,0,0,0,0,2,0,0,0,0,0
5,A,EM,6,2,0,0,2,1,1,1,4,0,1,0,0.16
6,A,M,5,0,1,0,4,0,0,2,1,0,1,1,0.12
7,A,MK,6,0,2,1,2,1,0,1,1,2,0,2,0.16
8,BM,BM,16,1,1,2,7,4,0,5,4,0,2,5,0.56
9,BM,DearData,4,0,4,0,0,0,0,1,1,0,2,0,0.08
10,BM,Faces,3,0,3,0,0,0,0,3,0,0,0,0,0.04
11,BM,Flags ,3,1,1,0,0,0,0,2,0,0,0,1,0.04
12,BM,H,7,2,0,0,4,1,0,2,0,0,0,5,0.2
13,BM,KB,4,1,0,1,2,0,0,0,0,0,0,4,0.08
14,BM,M,8,3,0,0,3,1,1,5,0,1,1,1,0.24
15,BM,Shakespeare,4,0,3,1,0,0,0,2,1,0,0,1,0.08
16,C,A,3,0,0,0,3,0,0,3,0,0,0,0,0.04
17,C,C,9,1,4,1,2,1,0,5,0,0,1,3,0.28
18,C,ChrisJordan,2,0,2,0,0,0,0,2,0,0,0,0,0
19,C,EM,6,0,0,0,3,0,1,3,2,1,0,0,0.16
20,C,M,6,0,1,0,5,0,0,2,1,0,1,2,0.16
21,C,Reflection,3,0,0,0,0,0,0,3,0,0,0,0,0.04
22,C,Shakespeare,3,0,3,0,0,0,0,2,0,0,0,1,0.04
23,EM,A,2,0,0,0,0,2,0,1,1,0,0,0,0
24,EM,DigitalDataInstallation,3,0,3,0,0,0,0,0,2,0,0,1,0.04
25,EM,EM,9,1,3,0,4,1,0,4,3,0,2,0,0.28
26,EM,M,4,0,2,0,2,0,0,1,1,1,1,0,0.08
27,EM,TallyMarks,2,0,2,0,0,0,0,1,0,1,0,0,0
28,H,BM,27,2,0,3,18,1,0,9,5,2,4,7,1
29,H,H,12,1,0,2,7,1,0,2,1,1,0,8,0.4
30,H,KB,6,0,1,3,1,1,0,0,0,0,0,6,0.16
31,H,M,6,1,0,1,2,0,2,3,0,0,3,0,0.16
32,H,PlasticBottles,2,0,2,0,0,0,0,1,1,0,0,0,0
33,H,Shakespeare,3,0,3,0,0,0,0,1,0,0,0,2,0.04
34,K,BM,2,0,1,1,0,0,0,0,0,1,1,0,0
35,K,KB,2,0,0,1,1,0,0,0,0,0,0,2,0
36,K,M,3,1,1,1,0,0,0,1,0,1,1,0,0.04
37,KB,BM,6,1,0,0,4,0,0,1,0,1,3,1,0.16
38,KB,H,2,0,0,0,2,0,0,0,0,0,0,2,0
39,M,A,2,0,1,0,1,0,0,0,0,0,0,2,0
40,M,BM,6,0,0,1,1,3,1,3,1,0,1,1,0.16
41,M,Flags ,2,0,1,0,0,0,1,0,0,0,2,0,0
42,M,FoodSecurity ,2,1,0,0,0,0,1,1,0,0,1,0,0
43,M,H,2,0,0,0,2,0,0,1,1,0,0,0,0
44,M,K,2,0,0,0,1,1,0,0,0,0,2,0,0
45,M,M,8,2,3,1,1,1,0,2,1,1,1,3,0.24
46,M,TallyMarks,3,0,3,0,0,0,0,2,0,0,1,0,0.04
47,MK,A,3,0,1,0,2,0,0,1,1,0,0,1,0.04
48,MK,C,2,0,0,0,1,1,0,1,0,1,0,0,0
49,MK,Cats,6,0,5,0,0,0,0,3,0,0,1,2,0.16
50,MK,EM,6,0,3,0,2,1,0,2,1,0,0,3,0.16
51,MK,MK,3,0,2,0,1,0,0,0,0,2,0,1,0.04
52,MK,Music ,4,1,3,0,0,0,0,1,0,0,0,3,0.08
53,MK,TrafficPatterns,3,0,3,0,0,0,0,2,0,1,0,0,0.04
