,author_id,parent,weight,Reasoning,Reflection,Clarification,Elaboration,Consensus,Alternative,Representation,Properties,Elements,Method,Application,weightNorm
1,P1,P1,7,2,1,0,3,1,0,3,2,0,0,2,0.230769231
2,P1,P3,10,0,3,2,4,0,1,2,1,1,3,3,0.346153846
3,P1,ChrisJordan,2,0,1,0,1,0,0,1,1,0,0,0,0.038461538
4,P1,DigitalDataInstallation,2,1,1,0,0,0,0,2,0,0,0,0,0.038461538
5,P1,P4,6,2,0,0,2,1,1,1,4,0,1,0,0.192307692
6,P1,P8,5,0,1,0,4,0,0,2,1,0,1,1,0.153846154
7,P1,P9,6,0,2,1,2,1,0,1,1,2,0,2,0.192307692
8,P1,Music ,1,0,1,0,0,0,0,1,0,0,0,0,0
9,P1,TallyMarks,1,0,1,0,0,0,0,0,0,0,0,1,0
10,P1,TrafficPatterns,1,0,1,0,0,0,0,0,1,0,0,0,0
11,P2,P2,16,1,1,2,7,4,0,5,4,0,2,5,0.576923077
12,P2,Clock ,1,0,1,0,0,0,0,0,0,1,0,0,0
13,P2,DearData,4,0,4,0,0,0,0,1,1,0,2,0,0.115384615
14,P2,Faces,3,0,3,0,0,0,0,3,0,0,0,0,0.076923077
15,P2,Flags ,3,1,1,0,0,0,0,2,0,0,0,1,0.076923077
16,P2,FoodSecurity ,1,0,0,0,0,0,1,0,0,0,1,0,0
17,P2,P5,7,2,0,0,4,1,0,2,0,0,0,5,0.230769231
18,P2,P6,1,1,0,0,0,0,0,0,0,0,1,0,0
19,P2,P7,4,1,0,1,2,0,0,0,0,0,0,4,0.115384615
20,P2,P8,8,3,0,0,3,1,1,5,0,1,1,1,0.269230769
21,P2,PlasticBottles,1,0,1,0,0,0,0,1,0,0,0,0,0
22,P2,Shakespeare,4,0,3,1,0,0,0,2,1,0,0,1,0.115384615
23,P3,P1,3,0,0,0,3,0,0,3,0,0,0,0,0.076923077
24,P3,P2,1,0,0,0,0,0,0,0,0,0,0,1,0
25,P3,P3,9,1,4,1,2,1,0,5,0,0,1,3,0.307692308
26,P3,ChrisJordan,2,0,2,0,0,0,0,2,0,0,0,0,0.038461538
27,P3,P4,6,0,0,0,3,0,1,3,2,1,0,0,0.192307692
28,P3,P8,6,0,1,0,5,0,0,2,1,0,1,2,0.192307692
29,P3,P9,1,1,0,0,0,0,0,1,0,0,0,0,0
30,P3,Reflection,3,0,0,0,0,0,0,3,0,0,0,0,0.076923077
31,P3,Shakespeare,3,0,3,0,0,0,0,2,0,0,0,1,0.076923077
32,P3,TallyMarks,1,0,0,0,0,0,0,1,0,0,0,0,0
33,P4,P1,2,0,0,0,0,2,0,1,1,0,0,0,0.038461538
34,P4,P3,1,0,0,0,0,0,0,1,0,0,0,0,0
35,P4,DigitalDataInstallation,3,0,3,0,0,0,0,0,2,0,0,1,0.076923077
36,P4,P4,9,1,3,0,4,1,0,4,3,0,2,0,0.307692308
37,P4,P8,4,0,2,0,2,0,0,1,1,1,1,0,0.115384615
38,P4,P9,1,0,0,0,0,0,0,1,0,0,0,0,0
39,P4,Music ,1,0,0,1,0,0,0,1,0,0,0,0,0
40,P4,Shakespeare,1,0,0,0,1,0,0,0,1,0,0,0,0
41,P4,TallyMarks,2,0,2,0,0,0,0,1,0,1,0,0,0.038461538
42,P4,TrafficPatterns,1,0,1,0,0,0,0,1,0,0,0,0,0
43,P5,P2,27,2,0,3,18,1,0,9,5,2,4,7,1
44,P5,Clock ,1,0,1,0,0,0,0,0,0,0,0,1,0
45,P5,Faces,1,0,0,0,0,0,0,0,0,0,0,1,0
46,P5,P5,12,1,0,2,7,1,0,2,1,1,0,8,0.423076923
47,P5,P6,1,0,0,0,1,0,0,0,0,1,0,0,0
48,P5,P7,6,0,1,3,1,1,0,0,0,0,0,6,0.192307692
49,P5,P8,6,1,0,1,2,0,2,3,0,0,3,0,0.192307692
50,P5,PlasticBottles,2,0,2,0,0,0,0,1,1,0,0,0,0.038461538
51,P5,Shakespeare,3,0,3,0,0,0,0,1,0,0,0,2,0.076923077
52,P6,P2,2,0,1,1,0,0,0,0,0,1,1,0,0.038461538
53,P6,P5,1,0,0,1,0,0,0,0,1,0,0,0,0
54,P6,P6,1,0,0,1,0,0,0,1,0,0,0,0,0
55,P6,P7,2,0,0,1,1,0,0,0,0,0,0,2,0.038461538
56,P6,P8,3,1,1,1,0,0,0,1,0,1,1,0,0.076923077
57,P6,PlasticBottles,1,0,0,0,0,0,1,0,0,0,1,0,0
58,P6,Shakespeare,1,0,1,0,0,0,0,1,0,0,0,0,0
59,P7,P2,6,1,0,0,4,0,0,1,0,1,3,1,0.192307692
60,P7,Clock ,1,0,1,0,0,0,0,0,0,0,0,1,0
61,P7,DearData,1,0,0,0,1,0,0,0,0,0,0,1,0
62,P7,Faces,1,0,1,0,0,0,0,0,0,0,0,1,0
63,P7,P5,2,0,0,0,2,0,0,0,0,0,0,2,0.038461538
64,P7,P8,1,0,0,0,0,1,0,1,0,0,0,0,0
65,P8,P1,2,0,1,0,1,0,0,0,0,0,0,2,0.038461538
66,P8,P2,6,0,0,1,1,3,1,3,1,0,1,1,0.192307692
67,P8,ChrisJordan,1,0,1,0,0,0,0,0,1,0,0,0,0
68,P8,DigitalDataInstallation,1,0,1,0,0,0,0,0,0,0,0,1,0
69,P8,P4,1,0,1,0,0,0,0,0,1,0,0,0,0
70,P8,Flags ,2,0,1,0,0,0,1,0,0,0,2,0,0.038461538
71,P8,FoodSecurity ,2,1,0,0,0,0,1,1,0,0,1,0,0.038461538
72,P8,P5,2,0,0,0,2,0,0,1,1,0,0,0,0.038461538
73,P8,P6,2,0,0,0,1,1,0,0,0,0,2,0,0.038461538
74,P8,P8,8,2,3,1,1,1,0,2,1,1,1,3,0.269230769
75,P8,PlasticBottles,1,0,0,0,0,0,1,1,0,0,0,0,0
76,P8,P10,1,1,0,0,0,0,0,1,0,0,0,0,0
77,P8,Shakespeare,1,0,1,0,0,0,0,1,0,0,0,0,0
78,P8,TallyMarks,3,0,3,0,0,0,0,2,0,0,1,0,0.076923077
79,P9,P1,3,0,1,0,2,0,0,1,1,0,0,1,0.076923077
80,P9,P3,2,0,0,0,1,1,0,1,0,1,0,0,0.038461538
81,P9,Cats,6,0,5,0,0,0,0,3,0,0,1,2,0.192307692
82,P9,P4,6,0,3,0,2,1,0,2,1,0,0,3,0.192307692
83,P9,Flags ,1,0,0,0,0,0,0,1,0,0,0,0,0
84,P9,P5,1,0,0,0,1,0,0,0,0,0,0,1,0
85,P9,P8,1,0,0,0,1,0,0,1,0,0,0,0,0
86,P9,P9,3,0,2,0,1,0,0,0,0,2,0,1,0.076923077
87,P9,Music ,4,1,3,0,0,0,0,1,0,0,0,3,0.115384615
88,P9,TallyMarks,1,0,0,0,1,0,0,0,0,0,0,1,0
89,P9,TrafficPatterns,3,0,3,0,0,0,0,2,0,1,0,0,0.076923077
90,P10,Music ,1,0,1,0,0,0,0,1,0,0,0,0,0
